Player Name,Team,Opponent,Venue,Toss Info,Innings
Imam-ul-Haq,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Babar Azam,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Saud Shakeel,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Mohammad Rizwan,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Salman Agha,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Tayyab Tahir,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Khushdil Shah,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Shaheen Afridi,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Naseem Shah,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Haris Rauf,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Abrar Ahmed,PAK,IND,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,1
Rohit Sharma,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Shubman Gill,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Virat Kohli,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Shreyas Iyer,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Axar Patel,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
KL Rahul,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Hardik Pandya,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Ravindra Jadeja,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Harshit Rana,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Mohammed Shami,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
Kuldeep Yadav,IND,PAK,"Dubai International Cricket Stadium, Dubai",Pakistan won the toss and opt to bat,2
