batter_name,batter,bat_team,opposition,venue,innings,batter_avg,batter_rpm,batter_sr,batter_bpm,batter_avg_last5,batter_sr_last5,batter_rpm_last5,batter_bpm_last5,bat_team_avg,batter_avg_opp,batter_sr_opp,batter_rpm_opp,batter_bpm_opp,bat_team_avg_opp,all_team_avg_opp,batter_avg_inn,batter_sr_inn,batter_rpm_inn,batter_bpm_inn,bat_team_avg_inn,all_team_avg_inn,batter_avg_ven,batter_sr_ven,batter_rpm_ven,batter_bpm_ven,bat_team_avg_ven,all_team_avg_ven
Tanzid Hasan,91219,Bangladesh,India,Dubai International Cricket Stadium,1,23.0625,23.0625,101.9337,3.75,47.0,107.7982,42.2,6.4,190.6927,13.0,108.3333,13.0,3.0,197.0513,208.9463,25.2222,105.0926,25.2222,4.1111,201.6637,219.1707,23.0625,101.9337,23.0625,3.75,209.5,387.6491
Soumya Sarkar,61619,Bangladesh,India,Dubai International Cricket Stadium,1,32.7903,29.4638,97.4126,4.1304,24.0,84.2105,18.4,3.0,190.6927,31.6667,90.0474,31.6667,4.1667,197.0513,208.9463,26.6774,92.4022,26.6774,3.7419,201.6637,219.1707,0.0,0.0,0.0,0.0,209.5,387.6491
Najmul Hossain Shanto,70872,Bangladesh,India,Dubai International Cricket Stadium,1,34.1,31.0,81.7256,3.6364,78.0,100.8621,71.4,8.8,190.6927,9.3333,56.0,9.3333,1.0,197.0513,208.9463,33.3043,77.8455,33.3043,3.6957,201.6637,219.1707,9.0,50.0,9.0,2.0,209.5,387.6491
Towhid Hridoy,91227,Bangladesh,India,Dubai International Cricket Stadium,1,37.5455,29.5,85.7736,2.6071,54.5,93.9655,30.8,2.8,190.6927,54.0,66.6667,54.0,7.0,197.0513,208.9463,29.8667,82.5046,29.8667,2.6,201.6637,219.1707,37.5455,85.7736,29.5,2.6071,209.5,387.6491
Mushfiqur Rahim,47986,Bangladesh,India,Dubai International Cricket Stadium,1,36.7536,29.0449,79.661,2.6704,42.0,82.7586,29.8,2.6,190.6927,31.6667,73.2379,27.7083,2.375,197.0513,208.9463,39.0976,83.8974,35.8881,3.306,201.6637,219.1707,82.5,84.6154,82.5,8.0,209.5,387.6491
Mehidy Hasan Miraz,70877,Bangladesh,India,Dubai International Cricket Stadium,1,23.8305,14.3469,77.6796,1.4898,26.2,67.1795,22.4,2.2,190.6927,57.0,86.3636,38.0,4.3333,197.0513,208.9463,24.1389,80.2401,16.3962,1.5849,201.6637,219.1707,28.5,80.2817,28.5,2.0,209.5,387.6491
Jaker Ali,80669,Bangladesh,India,Dubai International Cricket Stadium,1,25.5,25.5,104.0816,3.0,25.5,104.0816,25.5,3.0,190.6927,25.5,104.0816,25.5,3.0,197.0513,208.9463,25.5,104.0816,25.5,3.0,201.6637,219.1707,25.5,104.0816,25.5,3.0,209.5,387.6491
Rishad Hossain,102030,Bangladesh,India,Dubai International Cricket Stadium,1,27.0,10.8,168.75,2.0,54.0,234.7826,10.8,2.0,190.6927,27.0,168.75,10.8,2.0,197.0513,208.9463,3.0,42.8571,2.0,0.3333,201.6637,219.1707,27.0,168.75,10.8,2.0,209.5,387.6491
Tanzim Hasan Sakib,102028,Bangladesh,India,Dubai International Cricket Stadium,1,25.0,7.1429,86.2069,0.7143,25.0,86.2069,6.4,0.6,190.6927,13.0,118.1818,13.0,1.0,197.0513,208.9463,22.5,86.5385,11.25,1.0,201.6637,219.1707,25.0,86.2069,7.1429,0.7143,209.5,387.6491
Taskin Ahmed,66808,Bangladesh,India,Dubai International Cricket Stadium,1,8.037,3.0139,58.0214,0.3056,12.25,52.6882,3.8,0.6,190.6927,12.0,57.1429,2.4,0.2,197.0513,208.9463,8.0667,64.7059,3.025,0.275,201.6637,219.1707,8.037,58.0214,3.0139,0.3056,209.5,387.6491
Mustafizur Rahman,54674,Bangladesh,India,Dubai International Cricket Stadium,1,7.619,1.6,52.1173,0.19,13.0,47.561,0.4,0.0,190.6927,9.25,61.6667,3.3636,0.4545,197.0513,208.9463,5.9091,43.6242,1.2264,0.0943,201.6637,219.1707,6.5,65.0,6.5,0.5,209.5,387.6491
Rohit Sharma,48405,India,Bangladesh,Dubai International Cricket Stadium,2,49.2691,41.6174,92.6704,5.1591,55.6,131.1321,40.4,6.0,212.937,56.7692,96.0938,46.125,5.375,216.8,208.9087,49.6387,90.8909,39.1192,4.8278,197.5355,187.3397,134.5,94.7183,67.25,8.0,218.0,387.6491
Shubman Gill,95316,India,Bangladesh,Dubai International Cricket Stadium,2,58.9286,50.5102,101.3514,6.8367,40.8,82.5911,70.4,9.6,212.937,121.0,90.9774,121.0,13.0,216.8,208.9087,49.5,91.5725,40.5,5.7273,197.5355,187.3397,58.9286,101.3514,50.5102,6.8367,218.0,387.6491
Virat Kohli,49752,India,Bangladesh,Dubai International Cricket Stadium,2,57.9625,47.6404,93.5193,4.9795,23.4,82.9787,37.2,3.8,212.937,67.25,101.2547,53.8,5.8,216.8,208.9087,64.3607,93.5653,48.4691,5.3642,197.5355,187.3397,57.9625,93.5193,47.6404,4.9795,218.0,387.6491
Shreyas Iyer,71331,India,Bangladesh,Dubai International Cricket Stadium,2,48.5385,40.0635,101.9798,4.8095,35.25,115.5738,51.8,6.4,212.937,36.3333,74.1497,36.3333,3.6667,216.8,208.9087,45.9091,102.8513,33.6667,4.3667,197.5355,187.3397,48.5385,101.9798,40.0635,4.8095,218.0,387.6491
Hardik Pandya,70633,India,Bangladesh,Dubai International Cricket Stadium,2,33.7358,20.3182,110.7121,2.2955,40.6667,95.3125,4.8,0.6,212.937,0.0,0.0,0.0,0.0,216.8,208.9087,40.619,103.6452,17.4082,1.8571,197.5355,187.3397,56.0,130.2326,56.0,6.0,218.0,387.6491
Axar Patel,67455,India,Bangladesh,Dubai International Cricket Stadium,2,21.3226,10.6613,94.4286,1.0484,34.4,85.5721,32.4,3.4,212.937,19.0,109.1954,13.5714,1.4286,216.8,208.9087,32.6923,100.2358,13.7097,1.4516,197.5355,187.3397,21.3226,94.4286,10.6613,1.0484,218.0,387.6491
Ravindra Jadeja,49247,India,Bangladesh,Dubai International Cricket Stadium,2,32.5647,14.1949,85.1692,1.3077,31.0,110.7143,12.6,1.4,212.937,27.0,86.4,9.0,0.6667,216.8,208.9087,32.1364,81.5926,12.2957,1.1043,197.5355,187.3397,25.0,73.5294,8.3333,0.3333,218.0,387.6491
Harshit Rana,1312645,India,Bangladesh,Dubai International Cricket Stadium,2,12.2089,0.0,36.3636,0.0,10.75,36.0656,0.0,0.0,212.937,12.2089,36.3636,0.0,0.0,216.8,208.9087,5.0,38.4615,0.0,0.0,197.5355,187.3397,12.2089,36.3636,0.0,0.0,218.0,387.6491
Mohammed Shami,63646,India,Bangladesh,Dubai International Cricket Stadium,2,7.8571,2.2,83.0189,0.26,6.0,92.3077,1.2,0.2,212.937,1.0,50.0,0.3333,0.0,216.8,208.9087,8.6,88.3562,2.2632,0.2807,197.5355,187.3397,7.8571,83.0189,2.2,0.26,218.0,387.6491
Kuldeep Yadav,67609,India,Bangladesh,Dubai International Cricket Stadium,2,9.3182,1.934,50.3686,0.1321,5.2,28.2609,0.4,0.0,212.937,15.0,100.0,2.6667,0.0,216.8,208.9087,9.3,44.2857,1.7222,0.0926,197.5355,187.3397,9.0,81.8182,1.8,0.0,218.0,387.6491
